original_cluster,current_ea_id
1002-114,1002-114
1006-1708,1006-1708
1006-474,1006-474
1007-1026,1007-1026
1008-1314,1008-1314
1012-1106,1012-1106
1012-428,1012-428
1013-1054,1013-1054
1013-410,1013-410
1013-88,1013-88
1013-948,1013-948
1018-634,1018-634
102-1690,102-1690
102-2486,102-2486
102-46,102-46
102-806,102-806
1022-30,1022-30
1022-386,1022-386
1023-346,1023-346
1025-1774,1025-1774
104-1020,104-1020
104-412,104-412
105-638,105-638
107-10,107-10
107-1044,107-1044
107-1322,107-1322
108-904,108-904
109-1214,109-1214
109-1792,109-1792
109-1996,109-1996
110-338,110-338
1101-154,1101-154
1102-936,1102-936
1104-1610,1104-1610
1104-2028,1104-2028
1104-434,1104-434
1104-914,1104-914
1105-1092,1105-1092
1106-1366,1106-1366
1109-1556,1109-1556
111-1146,111-1146
111-118,111-118
1112-78,1112-78
1113-954,1113-954
112-266,112-266
112-556,112-556
113-284,113-284
113-44,113-44
113-6,113-6
115-176,115-176
115-550,115-550
115-670,115-670
117-560,117-560
117-800,117-800
1201-320,1201-320
1203-334,1203-334
1207-144,1207-144
1208-526,1208-526
1208-630,1208-630
1208-76,1208-76
1209-226,1209-226
1209-566,1209-566
1211-1250,1211-1250
1211-2856,1211-2856
1211-446,1211-446
1212-2598,1212-2598
1214-452,1214-452
1215-810,1215-810
1216-618,1216-618
1216-694,1216-694
1218-196,1218-196
1301-688,1301-688
1303-626,1303-626
1303-80,1303-80
1306-140,1306-140
1306-342,1306-342
1307-1002,1307-1002
1307-1178,1307-1178
1307-268,1307-268
1308-842,1308-842
1309-674,1309-674
1310-762,1310-762
1311-1134,1311-1134
1312-24,1312-24
1315-264,1315-264
1316-1236,1316-1236
1401-1116,1401-1116
1401-386,1401-386
1401-746,1401-746
1402-1686,1402-1686
1403-1418,1403-1418
1403-306,1403-306
1403-944,1403-944
1405-846,1405-846
1406-1002,1406-1002
1406-694,1406-694
1408-1996,1408-1996
1410-236,1410-236
1411-1414,1411-1414
1411-836,1411-836
1413-670,1413-670
1416-1134,1416-1134
1416-2314,1416-2314
1417-36,1417-36
1502-1386,1502-1386
1503-1076,1503-1076
1503-634,1503-634
1503-864,1503-864
1506-1328,1506-1328
1506-148,1506-148
1506-244,1506-244
1506-398,1506-398
1506-458,1506-458
1508-1682,1508-1682
1509-388,1509-388
1510-838,1510-838
1511-1498,1511-1498
1511-1938,1511-1938
1601-2484,1601-2484
1602-234,1602-234
1605-180,1605-180
1607-574,1607-574
1608-1480,1608-1480
1610-490,1610-490
1610-66,1610-66
1610-776,1610-776
1611-1878,1611-1878
1613-440,1613-440
1615-220,1615-220
1616-902,1616-902
1624-136,1622-136
1622-692,1622-692
1625-210,1625-210
1626-1546,1626-1546
1701-10,1701-10
1707-284,1707-284
1712-126,1712-126
1715-3064,1715-3064
1716-1344,1716-1344
1716-1452,1716-1452
1717-378,1717-378
1721-1272,1721-1272
1722-96,1722-96
1723-668,1723-668
1725-200,1725-200
1802-1040,1802-1040
1802-1554,1802-1554
1802-3204,1802-3204
1803-840,1803-840
1804-2690,1804-2690
1805-674,1805-674
1805-792,1805-792
1807-1754,1807-1754
1809-1098,1809-1098
1809-1756,1809-1756
1810-540,1810-540
1812-42,1812-42
1813-522,1813-522
1816-378,1816-378
1817-572,1817-572
1817-726,1817-726
1817-880,1817-880
1818-76,1818-76
1819-818,1819-818
1820-450,1820-450
1821-24,1821-24
1822-1898,1822-1898
1909-1684,1909-1684
1910-808,1910-808
1912-1510,1912-1510
1914-934,1914-934
1919-366,1919-366
1919-596,1919-596
1921-842,1921-842
1923-284,1923-284
1924-356,1924-356
1927-622,1927-622
1928-526,1928-526
1929-108,1929-108
1933-330,1933-330
1940-648,1940-648
1941-1112,1941-1112
2009-144,2009-144
2010-946,2010-946
2012-844,2012-844
2015-1746,2015-1746
2016-408,2016-408
2018-1134,2018-1134
2021-2086,2021-2086
2021-2556,2021-2556
2025-2222,2025-2222
2025-760,2025-760
2026-1216,2026-1216
2028-498,2028-498
203-1224,203-1224
2034-908,2034-908
204-144,204-144
205-206,205-206
205-712,205-712
207-1302,207-1302
207-158,207-158
208-300,208-300
209-10,209-10
209-1040,209-1040
210-1300,210-1300
210-924,210-924
2101-148,2101-148
2105-1606,2105-1606
2106-2822,2106-2822
211-344,211-344
211-532,211-532
211-668,211-668
2111-260,2112-260
2112-442,2113-442
2115-548,2116-548
2115-926,2116-926
212-100,212-100
212-1254,212-1254
213-1010,213-1010
213-1282,213-1282
213-1406,213-1406
215-814,215-814
218-1624,218-1624
219-124,219-124
220-112,220-112
2203-2578,2203-2578
2203-266,2203-266
2208-194,2208-194
2208-642,2208-642
221-750,221-750
2211-594,2211-594
2213-100,2213-100
2216-270,2216-270
2216-428,2216-428
2216-588,2216-588
2220-1296,2220-1296
2302-1982,2302-1982
2303-68,2303-68
2303-828,2303-828
2304-322,2304-322
2304-432,2304-432
2305-174,2305-174
2306-78,2306-78
2307-2316,2307-2316
2308-5126,2308-5126
2308-88,2308-88
2309-1224,2309-1224
2309-1574,2309-1574
2309-740,2309-740
2310-30,2310-30
2310-496,2310-496
2311-1600,2311-1600
2311-516,2311-516
2313-382,2313-382
2314-354,2314-354
2316-614,2316-614
2401-1664,2401-1664
2401-396,2401-396
2401-884,2401-884
2403-1444,2403-1444
2403-7586,2403-7586
2404-1342,2404-1342
2405-1292,2405-1292
2405-134,2405-134
2405-588,2405-588
2410-2522,2410-2522
2413-306,2413-306
2415-550,2415-550
2416-176,2416-176
2416-2028,2416-2028
2418-1090,2418-1090
2418-1770,2418-1770
2418-2276,2418-2276
2418-920,2418-920
2419-330,2419-330
2419-488,2419-488
2420-10,2420-10
2420-1580,2420-1580
2420-300,2420-300
2503-1350,2503-1350
2504-222,2504-222
2602-118,2602-118
2603-450,2603-450
2603-658,2603-658
2604-1652,2604-1652
2608-786,2608-786
2609-204,2609-204
2611-424,2611-424
2613-1462,2613-1462
2615-2196,2615-2196
2615-556,2615-556
2616-254,2616-254
2616-584,2616-584
2620-590,2620-590
2624-118,2624-118
2701-506,2701-506
2703-1076,2703-1076
2703-1612,2703-1612
2705-568,2705-568
2706-362,2706-362
2711-1218,2711-1218
2711-710,2711-710
2712-110,2712-110
2712-172,2712-172
2712-356,2712-356
2715-752,2715-752
2715-864,2715-864
2716-44,2716-44
2720-1048,2720-1048
2720-1836,2720-1836
2801-760,2801-760
2804-340,2804-340
2805-498,2805-498
2808-1494,2808-1494
2811-390,2811-390
2813-612,2813-612
2814-1876,2814-1876
2814-662,2814-662
2815-10,2815-10
2816-2146,2816-2146
2905-1096,2905-1096
2909-220,2908-220
2910-350,2910-350
2915-622,2915-622
2918-454,2918-454
2920-1628,2920-1628
2928-322,2928-322
2930-1300,2929-1300
2930-530,2929-530
3002-1264,3002-1264
3002-1310,3002-1310
3005-2942,3005-2942
3005-3648,3005-3648
3006-520,3006-520
3007-1624,3007-1624
301-1198,301-1198
3011-306,3011-306
3012-334,3012-334
3013-282,3013-282
3015-260,3015-260
3016-198,3016-198
302-302,302-302
3020-1092,3020-1092
3021-628,3021-628
3023-622,3023-622
3026-72,3026-72
3028-136,3028-136
304-10,304-10
304-184,304-184
305-1164,305-1164
305-1542,305-1542
307-634,307-634
308-102,308-102
309-698,309-698
3102-14,3102-14
3109-1026,3109-1026
3110-334,3110-334
3111-1128,3111-1128
3112-350,3112-350
3113-870,3113-870
3116-1344,3116-1344
3117-1288,3117-1288
312-20,312-20
313-70,313-70
316-874,316-874
316-910,316-910
317-586,317-586
318-1136,318-1136
318-56,318-56
320-266,320-266
3203-1420,3203-1420
3205-846,3205-846
3206-1646,3206-1646
3206-276,3206-276
3206-622,3206-622
3212-450,3212-450
3213-128,3213-128
3213-1358,3213-1358
3213-282,3213-282
3215-4712,3215-4712
3223-668,3223-668
323-488,323-488
326-502,326-502
327-196,327-196
327-246,327-246
329-608,329-608
3302-816,3302-816
3304-418,3304-418
3313-930,3313-930
3318-1498,3318-1498
3321-118,3321-118
3323-92,3323-92
3401-370,3401-370
3402-72,3402-72
3402-768,3402-768
3405-456,3405-456
3406-728,3406-728
3407-64,3407-64
3408-870,3408-870
3409-500,3409-500
3411-1034,3411-1034
3412-156,3412-156
3416-620,3416-620
3505-1726,3505-1726
3506-2404,3506-2404
3507-596,3507-596
3510-550,3510-550
3512-478,3512-478
3513-576,3513-576
3514-1050,3514-1050
3606-1956,3606-1956
3608-1300,3608-1300
3608-2078,3608-2078
3611-10,3611-10
3613-1066,3613-1066
3613-1808,3613-1808
3701-308,3701-308
3702-1102,3702-1102
3702-158,3702-158
3702-972,3702-972
3703-202,3703-202
3703-236,3703-236
3704-214,3704-214
3705-254,3705-254
3705-32,3705-32
3706-1376,3706-1376
3706-156,3706-156
3706-1836,3706-1836
3706-4144,3706-4144
402-1080,402-1080
402-874,402-874
405-716,405-716
407-680,407-680
408-630,408-630
412-1562,412-1562
416-372,416-372
416-730,416-730
417-114,417-114
417-678,417-678
419-1006,419-1006
420-1296,420-1296
421-800,421-800
502-3878,502-3878
502-562,502-562
503-246,503-246
504-1162,504-1162
504-406,504-406
505-1292,505-1292
505-1716,505-1716
506-696,506-696
506-830,506-830
507-230,507-230
509-1064,508-1064
508-2196,509-2196
508-984,509-984
511-796,511-796
513-348,513-348
514-1964,514-1964
516-134,516-134
517-1424,517-1424
518-1304,518-1304
518-1588,518-1588
518-1788,518-1788
518-2802,518-2802
520-1756,520-1756
601-16,601-16
601-640,601-640
602-1356,602-1356
604-858,604-858
605-162,605-162
606-790,606-790
607-1892,607-1892
608-1288,608-1288
701-104,701-104
702-954,702-954
704-10,704-10
705-3834,705-3834
708-754,708-754
709-1226,709-1226
711-2532,711-2532
713-304,713-304
713-694,713-694
715-780,715-780
716-458,716-458
717-478,717-478
718-1228,718-1228
718-1640,718-1640
718-504,718-504
719-270,719-270
721-2400,721-2400
723-1088,723-1088
805-46,805-46
821-12,821-12
821-1448,821-1448
821-1628,821-1628
827-804,827-804
901-398,901-398
905-2128,905-2128
908-278,908-278
908-78,908-78
909-506,909-506
910-370,910-370
910-730,910-730
913-1510,913-1510
915-1390,915-1390
917-2282,917-2282
918-834,918-834
1622-136,1622-136
1627-126,1627-126
2112-260,2112-260
2113-442,2113-442
2116-548,2116-548
2116-926,2116-926
2316-1442,2316-1442
2405-152,2405-152
2908-220,2908-220
2929-1300,2929-1300
2929-530,2929-530
508-1064,508-1064
509-2196,509-2196
509-984,509-984
